link,published,author,series,rating,charnum,awardnum
/work/662641,(2004),by John Ajvide Lindqvist,0,(4),17,11
/work/146723,(2005),by Vikas Swarup,0,(3.88),12,10
/work/10122,(1961),by Richard Yates,0,(4.03),7,5
/work/689300,,by Scott Smith,0,(3.37),7,5
/work/41564,(1864),by Jules Verne,1,(3.72),5,11
/work/6954108,(1951),by C. S. Lewis,1,(3.87),20,3
/work/5168,(2001),by Philippa Gregory,1,(3.95),11,4
/work/5750396,(2008),"by Mark Waters (Director), David Berenbaum (Screenwriter), Karey Kirkpatrick (Screenwriter), John Sayles (Screenwriter)",1,(3.39),5,1
/work/1653,(2003),by Cornelia Funke,1,(3.92),11,25
/work/36181,,by Jeanne DuPrau,1,(3.86),7,32
/work/3773276,(1995),by José Saramago,1,(4.07),8,6
/work/12193670,,by Bruce McDonald,0,(3.33),1,1
/work/74050,(2005),by Robert B. Parker,1,(3.77),4,1
/work/8048450,,by Mathieu Kassovitz,0,(2.75),1,1
/work/989447,(2006),"by Rachel Cohn, David Levithan",0,(3.78),10,10
/work/16696178,,by Eric Valette (Director),0,(1),1,1
/work/4441,(2002),by Nicholas Sparks,0,(3.53),3,1
/work/5173,,by Anita Diamant,0,(4.03),33,5
/work/134450,(1999),by Wendy Orr,1,(3.86),7,1
/work/803330,(2006),"by Frank Peretti, Ted Dekker",0,(3.39),9,1
/work/22550,(1945),by Evelyn Waugh,0,(4.04),6,22
/work/3045,(2002),by Sue Monk Kidd,0,(3.91),15,15
/work/1099256,(2007),by Ann Brashares,1,(3.73),11,2
/work/6953,(2003),by Kate DiCamillo,0,(4.09),9,41
/work/7205,(1994),by Bret Easton Ellis,0,(3.19),1,1
/work/57090,(2003),by Guillermo Martínez,0,(3.19),8,2
/work/51421,(1946),by Elizabeth Goudge,0,(4.1),14,5
/work/4968372,(2008),by Aleksandar Hemon,0,(3.52),8,11
/work/18216,(2001),by Philip Roth,1,(3.54),5,2
/work/227182,,by Robert Kaplow,0,(3.42),2,3
/work/119465,(2002),by James McBride,0,(3.57),8,1
/work/20214,(1995),by Jim Grimsley,0,(4),9,3
/work/349482,(1969),by Yoram Kaniuk,0,(2.94),1,1
/work/14363225,,"by Gordon Chan, Andy Wing-Keung Chin (Director), Danny Ko (Director)",0,(5),1,1
/work/11320756,,by Rosamund Lupton,0,(3.77),4,2
/work/3481,(1999),by J. M. Coetzee,0,(3.85),5,16
/work/43421,,by Guanzhong Luo,0,(4.09),12,3
/work/4913140,,by Guilherme Fiúza,0,(2),1,1
/work/407281,,by Esther Wilkin,0,(5),1,1
/work/1278360,,by Mary Beth Sullivan,0,(3.33),1,2
/work/379542,(1939),by Sándor Márai,0,(3.61),2,1
/work/1133041,,by Caio Fernando Abreu,0,(4.17),1,1
/work/19819436,,by Jeff Kinney,1,,1,1
/work/7137579,(2005),by Cormac McCarthy,0,(4.02),5,11
/work/115,(2003),by J. K. Rowling,1,(4.28),49,22
/work/258668,(1927),by Upton Sinclair,0,(3.57),11,2
/work/3574878,(1998),by Neil Gaiman,0,(4.02),20,7
/work/232669,,by Stephen King,1,(3.83),5,2
/work/819161,(1954),by Richard Matheson,0,(3.97),21,13
/work/7732,(1993),by Stephen Hunter,1,(4.08),1,1
/work/38008,(1998),by Dennis Lehane,1,(3.97),9,6
/work/3261,(1995),by Philip Pullman,1,(4.08),80,32
