Link,Title_x,Release_Date,ViewRating_x,Runtime_x,Genres_x,Description_x,Title_y,ViewRating_y,Genres_y,Budget,DomesticGross,WorldwideGross,Description_y,Keywords,Runtime_y
/title/tt0119052/,The Education of Little Tree,(1997),PG,112 min,Drama,Little Tree is an 8-year-old Cherokee boy who loses his parents during The Great Depression and begins living with his Indian grandparents and learning the Cherokee way of life.,,,,,,,,,
/title/tt0120393/,Twilight of the Ice Nymphs,(1997), ,91 min,"Fantasy, Mystery, Romance",,,,,,,,,,
/title/tt0112856/,Two Orphan Vampires,(1997), ,103 min,"Drama, Fantasy, Horror","A pair of teenage girls, who are blind by day, but when the sun goes down, they roam the streets to quench their thirst for blood.",,,,,,,,,
/title/tt0119815/,Four Days in September,(1997),R,110 min,"Action, Drama, History","Brazillian urban guerrilla fighters kidnap the American Ambassador. Now, the diplomat's life hangs in the balance - helplessly caught between a government unwilling to cooperate - and his fear of the captors themselves.",,,,,,,,,
/title/tt0120493/,The Well,(1997), ,101 min,Drama,,,,,,,,,,
/title/tt0118756/,On Guard,(1997),TV-14,128 min,"Drama, Adventure",,,,,,,,,,
/title/tt0120491/,Welcome to Woop Woop,(1997),R,106 min,"Adventure, Comedy, Fantasy",A con artist escapes a deal gone wrong in New York and winds up in the Aussie outback in a strange town whose inhabitants are an oddball collection of misfits.,,,,,,,,,
/title/tt0120532/,The Woodlanders,(1997),PG,98 min,"Drama, Romance",,,,,,,,,,
/title/tt0112904/,Driftwood,(1997),R,100 min,Thriller,,,,,,,,,,
/title/tt0129111/,The Gambler,(1997),R,97 min,"Biography, Drama, Romance","Russian author Fyodor Dostoyevsky (Sir Michael Gambon) must write a novel in twenty-seven days in a deal to pay off his gambling debts, and feverishly dictates the novel ""The Gambler"".",,,,,,,,,
/title/tt0129923/,The Chambermaid on the Titanic,(1997), ,101 min,"Drama, Romance","An ordinary foundry worker fakes a love story between him and the chambermaid from RMS Titanic. When ship sinks and chambermaid probably dies, his story gains popularity. But lie always has its price.",,,,,,,,,
/title/tt0116851/,Leila,(1997),Not Rated,102 min,"Drama, Family, Romance",,,,,,,,,,
/title/tt0119574/,Love and Death on Long Island,(1997),PG-13,93 min,"Comedy, Drama",,,,,,,,,,
/title/tt0119453/,A Merry War,(1997),PG-13,101 min,"Comedy, Drama, Romance","Gordon Comstock quits his job at an advertising agency in order to write poetry, only to find that poets, like everyone else, need money.",,,,,,,,,
/title/tt0117898/,"This World, Then the Fireworks",(1997),R,100 min,"Crime, Drama","In 1950s, two incestuous lovers, a depraved suave journalist and his equally depraved prostitute sister, plan to get rich through seduction and murder. Things complicate when their feeble-minded mother begins to suspect something.",,,,,,,,,
/title/tt0116193/,In Praise of Older Women,(1997), ,105 min,"Drama, Romance, War","In the turmoil of the Spanish Civil War, a young man comes of age sexually, through a string of relationships with a wide range of mature, older women.",,,,,,,,,
/title/tt0119653/,Men,(1997),R,92 min,Drama,,,,,,,,,,
/title/tt0117959/,The Truce,(1997),R,125 min,"Drama, War","Based on Primo Levi's autobiographical ""The Reawakening"".",,,,,,,,,
/title/tt0120522/,Winter Sleepers,(1997), ,122 min,"Drama, Romance, Thriller","Setting in a small mountain town, a man, looking for revenge because of his daughter's accidentally killing, mistakenly track out a young couple, troubling with their ordinary life problems.",,,,,,,,,
